"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","thinkpad",,,,"User:","yoichi"
"Cmdline:","dstat --output dstat2.log",,,,"Date:","18 Feb 2018 22:23:22 JST"

"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
34.601,9.141,56.211,0.047,0,15533.477,57051.582,0,0,0,0,163.505,397.749
21.519,6.076,72.405,0,0,0,335872,0,0,0,0,1782,4286
40.355,7.107,52.538,0,0,0,57344,809,875,0,0,2625,5033
24.745,7.653,67.602,0,0,0,0,0,0,0,0,1947,4521
14.358,4.282,81.360,0,0,0,827392,9812,7399,0,0,1302,2451
34.500,12,53.250,0.250,0,0,966656,38005,8144,0,0,3077,4459
48.354,9.367,42.025,0.253,0,0,843776,782940,64470,0,0,3680,8865
43.590,7.692,47.949,0.769,0,0,1351680,234630,24603,0,0,2808,7570
50.750,6.500,42.250,0.500,0,0,1425408,345523,31166,0,0,4105,9000
31.266,4.715,64.020,0,0,0,0,215890,9321,0,0,2632,5536
45.293,9.415,45.293,0,0,0,7364608,211759,6020,0,0,3092,6130
23.377,6.494,70.130,0,0,0,0,0,316,0,0,1803,4202
30.457,8.122,61.421,0,0,0,1400832,66,94,0,0,2082,4573
48.744,9.548,41.709,0,0,0,688128,153982,7815,0,0,3045,6872
52.250,7.500,40.250,0,0,679936,311296,369933,17822,0,0,3153,7200
57.403,12.208,29.870,0.519,0,1900544,942080,452759,51810,0,0,5088,12372
50.505,7.828,41.414,0.253,0,262144,180224,34971,4735,0,0,4242,9805
49.749,4.523,45.729,0,0,0,0,1506,1895,0,0,3525,7254
44.250,6,49.250,0.500,0,0,1818624,391,1154,0,0,2975,7955
50.515,9.794,39.691,0,0,0,0,262155,9977,0,0,3448,8966
47.395,8.189,44.417,0,0,0,6176768,90,236,0,0,2745,6242
54.315,12.437,33.249,0,0,0,0,2741571,39916,0,0,4331,10737
53.435,11.450,35.115,0,0,0,5988352,13054,1347,0,0,3626,8970
46.272,7.969,45.758,0,0,0,0,0,0,0,0,3308,9505
46.429,7.398,46.173,0,0,0,458752,0,0,0,0,3220,9382
50.127,10.127,39.747,0,0,0,0,1340,998,0,0,3562,9713
51.378,9.023,39.599,0,0,0,1474560,318367,4379,0,0,3737,10268
50.769,10.513,38.718,0,0,0,0,66,94,0,0,3393,8973
47.595,10.127,41.772,0.506,0,0,1507328,0,0,0,0,3627,10097
56.186,8.763,35.052,0,0,0,606208,1527,1691,0,0,3355,8825
62.195,11.463,26.341,0,0,0,0,1709429,16121,0,0,4213,11502
66.237,7.216,26.546,0,0,0,4759552,321052,17793,0,0,3518,10548
58.312,7.928,33.760,0,0,0,0,421,2285,0,0,3392,9303
66.247,11.335,22.166,0.252,0,0,368640,0,0,0,0,3403,9051
60.688,8.108,31.204,0,0,0,0,498,1241,0,0,3544,9714
60.253,7.342,32.405,0,0,0,827392,0,0,0,0,3453,10283
58.568,9.207,32.225,0,0,0,0,739965,11012,0,0,3133,9184
66.165,11.278,22.556,0,0,0,286720,0,0,0,0,3134,9130
64.938,10.123,24.691,0.247,0,0,1040384,1125956,9100,0,0,3674,10027
67.920,9.023,23.058,0,0,0,0,1103831,9346,0,0,4220,11775
61.832,11.959,26.209,0,0,0,9674752,3082542,31803,0,0,4202,10955
59.021,10.052,30.928,0,0,0,0,3041860,43247,0,0,4134,11556
70.244,11.707,18.049,0,0,0,11599872,3357076,75624,0,0,4826,13587
75.505,8.586,15.909,0,0,0,0,372215,12948,0,0,4372,14472
70.984,9.585,19.430,0,0,0,1146880,299,1002,0,0,3543,12643
66.408,8.786,24.806,0,0,0,0,95775,1468,0,0,3417,9967
64.268,7.444,28.288,0,0,0,5332992,1103,1450,0,0,3710,9450
66.250,7.750,26,0,0,0,0,2062184,16144,0,0,4119,12674
60.881,7.772,31.347,0,0,0,4554752,42,312,0,0,3647,10569
64.051,10.633,25.316,0,0,0,253952,66,336,0,0,3593,9675
63.250,8.500,28.250,0,0,0,0,0,0,0,0,3656,10193
47.222,7.071,45.707,0,0,0,499712,132,188,0,0,2733,7316
20.460,3.069,76.471,0,0,0,0,157812,1938,0,0,1328,3337
6.313,1.768,91.919,0,0,0,950272,66,94,0,0,604,1695
13.268,4.177,82.555,0,0,0,0,540,1147,0,0,1093,3104
31.043,7.125,61.578,0.254,0,0,131072,0,0,0,0,2117,6008
15.365,4.534,80.101,0,0,0,0,0,0,0,0,1152,3281
32.746,5.290,61.965,0,0,0,647168,0,0,0,0,1975,4743
19.171,6.736,74.093,0,0,0,0,66,94,0,0,1954,4320
35.768,10.579,53.652,0,0,0,122880,7606,6204,0,0,2341,5548
26.718,6.361,66.921,0,0,0,0,323,376,0,0,1778,3851
18.250,5,76.750,0,0,0,1122304,0,0,0,0,1467,3138
19.701,4.239,76.060,0,0,0,0,66,94,0,0,1386,2865
1.754,1.504,96.491,0.251,0,0,270336,0,0,0,0,367,769
3.741,1.247,95.012,0,0,0,0,0,0,0,0,357,793
2.005,0.251,97.744,0,0,0,327680,0,0,0,0,312,744
