Linux 4.15.0-1-MANJARO (thinkpad) 	2018年03月10日 	_x86_64_	(4 CPU)

23時40分58秒       tps      rtps      wtps   bread/s   bwrtn/s
23時40分59秒     10.00      0.00     10.00      0.00    144.00
23時41分00秒      2.00      0.00      2.00      0.00     80.00
23時41分01秒      0.00      0.00      0.00      0.00      0.00
23時41分02秒     18.00      0.00     18.00      0.00    208.00
23時41分03秒      0.00      0.00      0.00      0.00      0.00
23時41分04秒     14.00      0.00     14.00      0.00    248.00
23時41分05秒      0.00      0.00      0.00      0.00      0.00
23時41分06秒      2.00      0.00      2.00      0.00    160.00
23時41分07秒      0.00      0.00      0.00      0.00      0.00
23時41分08秒     59.00      0.00     59.00      0.00   1952.00
23時41分09秒      0.00      0.00      0.00      0.00      0.00
23時41分10秒     22.00      0.00     22.00      0.00    608.00
23時41分11秒      2.00      0.00      2.00      0.00   1256.00
23時41分12秒      0.00      0.00      0.00      0.00      0.00
23時41分13秒    119.00      0.00    119.00      0.00   1264.00


平均値:      16.53      0.00     16.53      0.00    394.67
