Linux 4.15.0-1-MANJARO (thinkpad) 	2018年03月10日 	_x86_64_	(4 CPU)

22時33分32秒  active/s passive/s    iseg/s    oseg/s
22時33分33秒      0.00      0.00     10.00     11.00
22時33分34秒      0.00      0.00      0.00      0.00
22時33分35秒      0.00      0.00      3.00      2.00
22時33分36秒      0.00      0.00      5.00      3.00
22時33分37秒      0.00      0.00      0.00      0.00
22時33分38秒      0.00      0.00     33.00     34.00
22時33分39秒      0.00      0.00     12.00      5.00
22時33分40秒      0.00      0.00      0.00      0.00


平均値:       0.00      0.00      7.88      6.88
