Linux 4.15.0-1-MANJARO (thinkpad) 	2018年03月13日 	_x86_64_	(4 CPU)

23時04分55秒   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
23時04分56秒         3       619      0.99      0.84      1.38         0
23時04分57秒         0       619      0.99      0.84      1.38         0
23時04分58秒         3       524      0.99      0.84      1.38         0
23時04分59秒         0       468      1.39      0.93      1.40         0
23時05分00秒         1       467      1.39      0.93      1.40         0
23時05分01秒         0       468      1.39      0.93      1.40         0
23時05分02秒         1       479      1.39      0.93      1.40         0
23時05分03秒        17       631      1.39      0.93      1.40         0
23時05分04秒         1       620      1.68      0.99      1.42         0
23時05分05秒         1       651      1.68      0.99      1.42         0
23時05分06秒         5       681      1.68      0.99      1.42         0
23時05分07秒         2       701      1.68      0.99      1.42         0
23時05分08秒         2       701      1.68      0.99      1.42         0


平均値:          3       587      1.41      0.93      1.40         0
