Linux 4.15.0-1-MANJARO (thinkpad) 	2018年03月11日 	_x86_64_	(4 CPU)

14時21分05秒    proc/s   cswch/s
14時21分06秒      0.00   6131.00
14時21分07秒      1.00   4334.00
14時21分08秒      4.00   4466.00
14時21分09秒      0.00   5045.00
14時21分10秒      0.00   3777.00
14時21分11秒     35.00   4856.00
14時21分12秒     38.00   8082.00
14時21分13秒     42.00  29935.00
14時21分14秒     18.00  21108.00
14時21分15秒     15.00  10252.00
14時21分16秒      5.00   4069.00
14時21分17秒     19.00   4552.00
14時21分18秒     35.00   4362.00
14時21分19秒     25.00   7454.00


平均値:      16.93   8458.79
