procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   7860 219616 106632 3330968    0    0    74   134   40  878 34 12 54  0  0
 0  0   7860 227248 106636 3324288    0    0     8     0 1540 3406 10  5 86  0  0
 1  0   7860 208144 106672 3339264    0    0  4077   152 1907 3968 11 11 78  0  0
 1  0   7860 156056 114120 3371256    0    0  7329    68 1523 10237  7 24 69  0  0
 1  0   8116 128324 123968 3339128    0   20  9742    20 1416 9545 19 24 57  0  0
 1  0   8372 134820 133864 3282232    0  344  9833   344 1425 12101 14 26 60  0  0
 2  0   8372 134072 142916 3259016    0  132  9039   604 1287 8534 15 22 63  0  0
 1  1   8628 127020 149892 3239736    0  120 10827   528 1665 8305 18 17 63  1  0
 3  0   8628 152020 154328 3182092    0  292 10920  2756 5104 13392 36 19 44  2  0
 1  0   8628 129900 154840 3193720    0    0  2236  1380 3682 9691 58  7 34  0  0
 1  0   8884 163120 154840 3160136    0   76     0    76 2953 7468 25 11 64  0  0
 2  0   8884 176172 154840 3159132    0    0     0     0 2351 5933 23  8 69  0  0
 5  0   8884 180728 154912 3151404    0    0   163   220 2535 7127 32  6 62  0  0
 0  0   8884 181596 154912 3149764    0    0     0     0 1270 3093 13  3 84  0  0
10  0   8884 180852 155008 3149784    0    0   209     0  806 2610  7  3 90  0  0
 3  0   8884 151136 158256 3164736    0    0  3705     0 3413 10189 70 12 17  0  0
 1  0   8884 138672 163164 3156948    0    0  4846     0 2784 9126 59 16 25  0  0
 2  0   8884 132956 169616 3139400    0   56  6379   208 2864 11223 36 23 40  0  0
 1  0   8884 133476 175080 3118752    0   52  6497    52 2741 10264 37 18 45  0  0
 2  0   9140 143884 179796 3094212    0   64  6504    64 3203 11649 48 18 34  0  0
 3  0   9140 137904 186412 3075368    0   48  7939   188 3069 8882 41 28 31  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   9396 141996 194160 3044120    0   72 10224   668 3264 9340 46 31 22  1  0
 5  0   9396 141304 196548 3032748    0   44  3765   284 4616 10842 77 16  7  1  0
 9  0   9396 171440 198676 2995732    0  100  3755   100 5363 12289 76 16  8  0  0
 5  0   9396 145416 202384 3003108    0    0  4205   464 4547 9418 82 14  3  0  0
 3  0   9396 130972 207768 2994212    0   12  9182    12 2857 6435 72 19  9  0  0
 0  0   9396 476048 209456 2988024    0    0  3700   592 3297 7028 41 11 48  0  0
 0  0   9396 476792 209472 2987632    0    0     0   572 1157 2830  7  2 91  0  0
 0  0   9396 478280 209472 2987628    0    0     0     0  879 2237  6  2 93  0  0
