procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 1  0  10832 2259252 1575188 3480884    0    0    65   152  217  481 34 12 54  0  0
 0  0  10832 2241192 1593972 3481124    0    0     0     0 1567 4110 10  5 85  0  0
 0  0  10832 2251812 1582108 3481464    0    0     0     0 1936 4515 15  6 80  0  0
 9  0  10832 2204156 1581772 3525740    0    0   148     0 1927 4840 13  7 81  0  0
 8  0  10832 1931776 1621240 3732012    0    0  7148  3668 10914 24466 67 18 13  2  0
 2  0  10832 1769952 1719448 3791956    0    0 12529   300 7027 19435 35 30 35  0  0
 2  0  10832 1707232 1710988 3862888    0    0  6657   280 3206 13212 28 21 50  0  0
 3  0  10832 1632432 1716764 3929276    0    0  9763     4 2990 14239 16 27 57  0  0
 1  0  10832 1571176 1725504 3980580    0    0  9423     0 3136 13581 14 27 59  0  0
 1  0  10832 1527776 1732692 4015660    0    0  8293   236 3256 12960 19 24 57  0  0
 3  0  10832 1473380 1741224 4059924    0    0  9099   112 3631 14260 32 17 51  0  0
 0  0  10832 1434628 1742768 4097124    0    0  2859     0 5380 11626 34 13 53  0  0
 0  0  10832 1435864 1740264 4097240    0    0    16     0 2614 5512 13  8 79  0  0
 3  0  10832 1438256 1736932 4098148    0    0  3943  2472 3670 11184 31 12 56  0  0
 3  0  10832 1404096 1744224 4124812    0    0  4755  6932 4956 14037 70 15 14  1  0
 2  0  10832 1364032 1752708 4154548    0    0  3147   100 3559 9918 70 13 17  0  0
 1  0  10832 1309424 1766140 4193948    0    0  7302     0 3080 12639 30 21 48  0  0
 2  0  10832 1276396 1770232 4221908    0    0  5107     0 2597 9438 37 16 47  0  0
 4  0  10832 1217252 1780916 4269256    0    0 10424     0 3562 12615 49 18 33  0  0
 5  0  10832 1197196 1790320 4280960    0    0  6248   404 5049 12439 58 24 18  0  0
 3  0  10832 1155992 1792912 4319580    0    0  6011   296 4738 10319 66 27  7  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 8  0  10832 1120372 1798796 4351720    0    0  8600   236 4867 9433 66 26  8  0  0
 6  0  10832 1084476 1798932 4386780    0    0  5215   184 4069 11334 68 24  7  0  0
 5  0  10832 1062448 1799660 4407344    0    0  3931   284 4000 7823 77 16  8  0  0
 3  0  10832 1034952 1809752 4424584    0    0  1917  3132 4680 10048 77 11 12  1  0
 7  0  10832 1047936 1812012 4412208    0    0  1842     0 2994 6548 66 10 24  0  0
 3  0  10832 1030688 1809984 4431636    0    0  1546   264 3223 7453 54 11 35  0  0
 0  0  10832 1437180 1732060 4130764    0    0    32  5696 7664 11540 28 11 59  1  0
 1  0  10832 1438924 1731252 4130744    0    0     0     0 2147 5071 12  5 83  0  0
 0  0  10832 1443424 1726692 4130324    0    0     0   972  928 2016  8  2 90  0  0
 0  0  10832 1443264 1726304 4130396    0    0     0     0 1111 2252  3  2 95  0  0
