Linux 4.14.16-1-MANJARO (thinkpad) 	2018年02月12日 	_x86_64_	(4 CPU)

18時42分22秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
18時42分23秒     all      9.85      0.00      4.43      0.00      0.00     85.71
18時42分24秒     all     14.14      0.00      3.54      0.00      0.00     82.32
18時42分25秒     all      4.57      0.00      0.51      0.00      0.00     94.92
18時42分26秒     all     28.40      0.00      4.20      0.00      0.00     67.41
18時42分27秒     all     30.56      0.00      2.27      0.00      0.00     67.17
18時42分28秒     all     41.92      0.00      1.26      0.00      0.00     56.82
18時42分29秒     all     48.26      0.00      0.75      0.00      0.00     51.00
18時42分30秒     all     35.31      0.00      1.73      0.00      0.00     62.96
18時42分31秒     all     28.97      0.00      1.26      0.25      0.00     69.52
18時42分32秒     all     31.55      0.00      1.02      0.00      0.00     67.43
18時42分33秒     all     33.42      0.00      2.03      0.00      0.00     64.56
18時42分34秒     all     27.71      0.00      1.76      0.00      0.00     70.53
18時42分35秒     all     29.60      0.00      1.74      0.00      0.00     68.66
18時42分36秒     all     34.01      0.00      0.76      0.00      0.00     65.24
18時42分37秒     all     35.79      0.00      1.02      0.25      0.00     62.94
18時42分38秒     all     28.32      0.00      3.01      0.00      0.00     68.67
18時42分39秒     all     35.64      0.00      1.73      0.00      0.00     62.62
18時42分40秒     all     21.59      0.00      3.72      0.00      0.00     74.69
18時42分41秒     all     30.55      0.00     10.18      0.00      0.00     59.27

平均値:      all     28.95      0.00      2.46      0.03      0.00     68.56
