Linux 4.14.16-1-MANJARO (thinkpad) 	2018年02月12日 	_x86_64_	(4 CPU)

18時39分17秒     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
18時39分18秒     all     15.74      0.00      5.58      0.00      0.00      0.00      0.00      0.00      0.00     78.68
18時39分19秒     all     16.24      0.00      4.06      0.00      0.00      0.00      0.25      0.00      0.00     79.44
18時39分20秒     all     28.82      0.00      1.72      0.00      0.00      0.00      0.49      0.00      0.00     68.97
18時39分21秒     all     33.67      0.00      1.01      0.00      0.00      0.00      0.51      0.00      0.00     64.81
18時39分22秒     all     34.77      0.00      1.52      0.00      0.00      0.00      0.25      0.00      0.00     63.45
18時39分23秒     all     40.75      0.00      4.75      0.25      0.00      0.00      0.50      0.00      0.00     53.75
18時39分24秒     all     54.66      0.00      4.28      0.00      0.00      0.00      0.50      0.00      0.00     40.55
18時39分25秒     all     62.96      0.00      4.44      0.00      0.00      0.00      0.49      0.00      0.00     32.10
18時39分26秒     all     48.33      0.00      2.83      0.00      0.00      0.00      0.51      0.00      0.00     48.33
18時39分27秒     all     44.67      0.00      2.73      0.00      0.00      0.00      0.25      0.00      0.00     52.36
18時39分28秒     all     31.98      0.00      2.79      0.00      0.00      0.00      0.00      0.00      0.00     65.23
18時39分29秒     all     31.31      0.00      1.01      0.00      0.00      0.00      0.25      0.00      0.00     67.42
18時39分30秒     all     31.16      0.00      0.75      0.00      0.00      0.00      0.00      0.00      0.00     68.09
18時39分31秒     all     36.14      0.00      0.99      0.00      0.00      0.00      0.50      0.00      0.00     62.38
18時39分32秒     all     33.25      0.00      0.76      0.25      0.00      0.00      0.25      0.00      0.00     65.49
18時39分33秒     all     34.26      0.00      1.52      0.00      0.00      0.00      0.25      0.00      0.00     63.96
18時39分34秒     all     36.18      0.00      2.01      0.00      0.00      0.00      0.50      0.00      0.00     61.31
18時39分35秒     all     30.45      0.00      1.73      0.00      0.00      0.00      0.00      0.00      0.00     67.82
18時39分36秒     all     32.58      0.00      0.51      0.00      0.00      0.00      0.25      0.00      0.00     66.67
18時39分37秒     all     30.96      0.00      0.51      0.00      0.00      0.00      0.25      0.00      0.00     68.27
18時39分38秒     all     36.14      0.00      1.49      0.00      0.00      0.00      0.00      0.00      0.00     62.38
18時39分39秒     all     32.51      0.00      0.74      0.00      0.00      0.00      0.50      0.00      0.00     66.25


平均値:      all     35.37      0.00      2.17      0.02      0.00      0.00      0.30      0.00      0.00     62.14
